PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"23481840","Ocean color products from the Korean Geostationary Ocean Color Imager (GOCI)","Wang M, Ahn JH, Jiang L, Shi W, Son S, Park YJ, Ryu JH.","Opt Express. 2013 Feb 11;21(3):3835-49. doi: 10.1364/OE.21.003835.","Wang M","Opt Express","2013","2013/03/14","","","10.1364/OE.21.003835"
"34184549","First Report of Fusarium oxysporum Causing Wilt on Coriander in China","Li X, Kang HJ, Zhao Q, Shi Y, Chai A, Li B.","Plant Dis. 2021 Jun 29. doi: 10.1094/PDIS-05-21-1002-PDN. Online ahead of print.","Li X","Plant Dis","2021","2021/06/29","","","10.1094/PDIS-05-21-1002-PDN"
"36124254","Plasma-induced nanoparticle aggregation for stratifying COVID-19 patients according to disease severity","Santopolo G, Clemente A, González-Freire M, Russell SM, Vaquer A, Barón E, Aranda M, Socias A, Del Castillo A, Borges M, de la Rica R.","Sens Actuators B Chem. 2022 Dec 15;373:132638. doi: 10.1016/j.snb.2022.132638. Epub 2022 Sep 15.","Santopolo G","Sens Actuators B Chem","2022","2022/09/20","PMC9476366","","10.1016/j.snb.2022.132638"
"33751231","Functionalized ultra-fine bimetallic PtRu alloy nanoparticle with high peroxidase-mimicking activity for rapid and sensitive colorimetric quantification of C-reactive protein","Gupta PK, Son SE, Seong GH.","Mikrochim Acta. 2021 Mar 9;188(4):119. doi: 10.1007/s00604-021-04775-4.","Gupta PK","Mikrochim Acta","2021","2021/03/22","","","10.1007/s00604-021-04775-4"
"22805878","A BODIPY-functionalized bimetallic probe for sensitive and selective color-fluorometric chemosensing of Hg2+","Son H, Lee JH, Kim YR, Lee IS, Han S, Liu X, Jaworski J, Jung JH.","Analyst. 2012 Sep 7;137(17):3914-6. doi: 10.1039/c2an35704f. Epub 2012 Jul 18.","Son H","Analyst","2012","2012/07/19","","","10.1039/c2an35704f"
"30869519","Ultrafast and Ultrasensitive Naked-Eye Detection of Urease-Positive Bacteria with Plasmonic Nanosensors","Santopolo G, Doménech-Sánchez A, Russell SM, de la Rica R.","ACS Sens. 2019 Apr 26;4(4):961-967. doi: 10.1021/acssensors.9b00063. Epub 2019 Mar 22.","Santopolo G","ACS Sens","2019","2019/03/15","","","10.1021/acssensors.9b00063"
