PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"27922594","Cacna1c in the Prefrontal Cortex Regulates Depression-Related Behaviors via REDD1","Kabir ZD, Lee AS, Burgdorf CE, Fischer DK, Rajadhyaksha AM, Mok E, Rizzo B, Rice RC, Singh K, Ota KT, Gerhard DM, Schierberl KC, Glass MJ, Duman RS, Rajadhyaksha AM.","Neuropsychopharmacology. 2017 Sep;42(10):2032-2042. doi: 10.1038/npp.2016.271. Epub 2016 Dec 6.","Kabir ZD","Neuropsychopharmacology","2017","2016/12/07","PMC5561335","","10.1038/npp.2016.271"
"28093255","NLRP3 gene knockout blocks NF-κB and MAPK signaling pathway in CUMS-induced depression mouse model","Su WJ, Zhang Y, Chen Y, Gong H, Lian YJ, Peng W, Liu YZ, Wang YX, You ZL, Feng SJ, Zong Y, Lu GC, Jiang CL.","Behav Brain Res. 2017 Mar 30;322(Pt A):1-8. doi: 10.1016/j.bbr.2017.01.018. Epub 2017 Jan 16.","Su WJ","Behav Brain Res","2017","2017/01/18","","","10.1016/j.bbr.2017.01.018"
